      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
----------,---------------,------------------------------------------------------------,------------,------------,-----------------
      2017,JANUARY        ,Mechanical                                                  ,           2,          33,              6.1
      2021,JANUARY        ,Unpreventable                                               ,           1,           9,             11.1
      2018,JANUARY        ,AMTRAK                                                      ,           1,          32,              3.1
      2018,JANUARY        ,Crew/Engineer Availability                                  ,           4,          32,             12.5
      2018,JANUARY        ,Equipment Availability                                      ,          12,          32,             37.5
      2018,JANUARY        ,Mechanical                                                  ,           8,          32,               25
      2018,JANUARY        ,Other Railroads                                             ,           4,          32,             12.5
      2018,JANUARY        ,Unpreventable                                               ,           3,          32,              9.4
      2020,JANUARY        ,AMTRAK                                                      ,           3,           5,               60
      2020,JANUARY        ,Unpreventable                                               ,           2,           5,               40
      2021,JANUARY        ,Crew/Engineer Availability                                  ,           1,           9,             11.1
      2021,JANUARY        ,Human Factor                                                ,           2,           9,             22.2
      2021,JANUARY        ,Mechanical                                                  ,           3,           9,             33.3
      2021,JANUARY        ,Other Railroads                                             ,           2,           9,             22.2
      2017,JANUARY        ,Other Railroads                                             ,          31,          33,             93.9
      2017,FEBRUARY       ,Mechanical                                                  ,           5,           5,              100
      2018,FEBRUARY       ,Other Railroads                                             ,           8,          13,             61.5
      2018,FEBRUARY       ,Unpreventable                                               ,           5,          13,             38.5
      2020,FEBRUARY       ,Unpreventable                                               ,           2,           2,              100
      2021,FEBRUARY       ,Unpreventable                                               ,           2,         109,              1.8
      2021,FEBRUARY       ,Infrastructure Engineering                                  ,           4,         109,              3.7
      2021,FEBRUARY       ,Mechanical                                                  ,           2,         109,              1.8
      2021,FEBRUARY       ,Other Railroads                                             ,           6,         109,              5.5
      2021,FEBRUARY       ,AMTRAK                                                      ,          95,         109,             87.2
      2017,MARCH          ,Mechanical                                                  ,           1,           1,              100
      2018,MARCH          ,AMTRAK                                                      ,          35,          80,             43.8
      2018,MARCH          ,Human Factor                                                ,           5,          80,              6.3
      2018,MARCH          ,Mechanical                                                  ,           1,          80,              1.3
      2021,MARCH          ,Unpreventable                                               ,           2,           4,               50
      2020,MARCH          ,Crew/Engineer Availability                                  ,           5,          13,             38.5
      2020,MARCH          ,Mechanical                                                  ,           8,          13,             61.5
      2021,MARCH          ,Mechanical                                                  ,           2,           4,               50
      2018,MARCH          ,Unpreventable                                               ,          39,          80,             48.8
      2017,APRIL          ,Other Railroads                                             ,           6,           6,              100
      2018,APRIL          ,Equipment Availability                                      ,           9,           9,              100
      2020,APRIL          ,Crew/Engineer Availability                                  ,          16,          29,             55.2
      2020,APRIL          ,Infrastructure Engineering                                  ,           6,          29,             20.7
      2021,APRIL          ,Unpreventable                                               ,           5,           6,             83.3
      2020,APRIL          ,Other Railroads                                             ,           4,          29,             13.8
      2020,APRIL          ,Unpreventable                                               ,           1,          29,              3.4
      2021,APRIL          ,Mechanical                                                  ,           1,           6,             16.7
      2020,APRIL          ,Mechanical                                                  ,           2,          29,              6.9
      2017,MAY            ,Unpreventable                                               ,           6,           6,              100
      2021,MAY            ,Unpreventable                                               ,           7,          37,             18.9
      2018,MAY            ,Other Railroads                                             ,           2,          12,             16.7
      2018,MAY            ,Unpreventable                                               ,           4,          12,             33.3
      2019,MAY            ,Infrastructure Engineering                                  ,           4,           6,             66.7
      2019,MAY            ,Unpreventable                                               ,           2,           6,             33.3
      2020,MAY            ,Crew/Engineer Availability                                  ,           4,          24,             16.7
      2020,MAY            ,Equipment Availability                                      ,           6,          24,               25
      2020,MAY            ,Infrastructure Engineering                                  ,           5,          24,             20.8
      2020,MAY            ,Unpreventable                                               ,           9,          24,             37.5
      2021,MAY            ,Carryover/Other                                             ,           1,          37,              2.7
      2021,MAY            ,Equipment Availability                                      ,           4,          37,             10.8
      2021,MAY            ,Mechanical                                                  ,          20,          37,             54.1
      2021,MAY            ,Other Railroads                                             ,           5,          37,             13.5
      2018,MAY            ,Equipment Availability                                      ,           6,          12,               50
      2017,JUNE           ,Human Factor                                                ,           1,          12,              8.3
      2021,JUNE           ,Other Railroads                                             ,           2,           8,               25
      2017,JUNE           ,Unpreventable                                               ,           8,          12,             66.7
      2018,JUNE           ,Infrastructure Engineering                                  ,           2,          23,              8.7
      2018,JUNE           ,Mechanical                                                  ,           5,          23,             21.7
      2018,JUNE           ,Other Railroads                                             ,          15,          23,             65.2
      2018,JUNE           ,Unpreventable                                               ,           1,          23,              4.3
      2019,JUNE           ,Equipment Availability                                      ,           8,          10,               80
      2019,JUNE           ,Mechanical                                                  ,           2,          10,               20
      2020,JUNE           ,AMTRAK                                                      ,           4,          40,               10
      2020,JUNE           ,Crew/Engineer Availability                                  ,           6,          40,               15
      2020,JUNE           ,Other Railroads                                             ,           4,          40,               10
      2020,JUNE           ,Technologies                                                ,           8,          40,               20
      2020,JUNE           ,Unpreventable                                               ,          18,          40,               45
      2021,JUNE           ,Mechanical                                                  ,           6,           8,               75
      2017,JUNE           ,Other Railroads                                             ,           3,          12,               25
      2017,JULY           ,Carryover/Other                                             ,           6,         104,              5.8
      2021,JULY           ,Mechanical                                                  ,           7,          10,               70
      2017,JULY           ,Infrastructure Engineering                                  ,          89,         104,             85.6
      2017,JULY           ,Mechanical                                                  ,           2,         104,              1.9
      2017,JULY           ,Other Railroads                                             ,           5,         104,              4.8
      2018,JULY           ,Mechanical                                                  ,           2,           8,               25
      2018,JULY           ,Other Railroads                                             ,           4,           8,               50
      2018,JULY           ,Unpreventable                                               ,           2,           8,               25
      2019,JULY           ,Equipment Availability                                      ,           2,          60,              3.3
      2019,JULY           ,Infrastructure Engineering                                  ,           2,          60,              3.3
      2019,JULY           ,Mechanical                                                  ,          11,          60,             18.3
      2019,JULY           ,Unpreventable                                               ,          45,          60,               75
      2020,JULY           ,AMTRAK                                                      ,           3,          28,             10.7
      2020,JULY           ,Crew/Engineer Availability                                  ,          16,          28,             57.1
      2020,JULY           ,Mechanical                                                  ,           3,          28,             10.7
      2020,JULY           ,Other Railroads                                             ,           4,          28,             14.3
      2020,JULY           ,Unpreventable                                               ,           2,          28,              7.1
      2021,JULY           ,AMTRAK                                                      ,           2,          10,               20
      2021,JULY           ,Infrastructure Engineering                                  ,           1,          10,               10
      2017,JULY           ,Human Factor                                                ,           2,         104,              1.9
      2017,AUGUST         ,Infrastructure Engineering                                  ,          49,          52,             94.2
      2021,AUGUST         ,Other Railroads                                             ,          11,          15,             73.3
      2017,AUGUST         ,Other Railroads                                             ,           2,          52,              3.8
      2018,AUGUST         ,AMTRAK                                                      ,           6,          29,             20.7
      2018,AUGUST         ,Mechanical                                                  ,           8,          29,             27.6
      2018,AUGUST         ,Other Railroads                                             ,          12,          29,             41.4
      2018,AUGUST         ,Unpreventable                                               ,           3,          29,             10.3
      2019,AUGUST         ,Crew/Engineer Availability                                  ,           3,           4,               75
      2019,AUGUST         ,Mechanical                                                  ,           1,           4,               25
      2020,AUGUST         ,Crew/Engineer Availability                                  ,           8,          45,             17.8
      2020,AUGUST         ,Infrastructure Engineering                                  ,           4,          45,              8.9
      2020,AUGUST         ,Mechanical                                                  ,          18,          45,               40
      2020,AUGUST         ,Unpreventable                                               ,          15,          45,             33.3
      2021,AUGUST         ,Human Factor                                                ,           3,          15,               20
      2021,AUGUST         ,Mechanical                                                  ,           1,          15,              6.7
      2017,AUGUST         ,Mechanical                                                  ,           1,          52,              1.9
      2017,SEPTEMBER      ,Other Railroads                                             ,          14,          14,              100
      2018,SEPTEMBER      ,Other Railroads                                             ,           4,           4,              100
      2019,SEPTEMBER      ,Crew/Engineer Availability                                  ,           2,          14,             14.3
      2019,SEPTEMBER      ,Equipment Availability                                      ,           4,          14,             28.6
      2019,SEPTEMBER      ,Mechanical                                                  ,           6,          14,             42.9
      2019,SEPTEMBER      ,Technologies                                                ,           2,          14,             14.3
      2020,SEPTEMBER      ,AMTRAK                                                      ,           1,          16,              6.3
      2020,SEPTEMBER      ,Infrastructure Engineering                                  ,          12,          16,               75
      2020,SEPTEMBER      ,Mechanical                                                  ,           3,          16,             18.8
      2021,SEPTEMBER      ,AMTRAK                                                      ,           4,          10,               40
      2021,SEPTEMBER      ,Equipment Availability                                      ,           4,          10,               40
      2021,SEPTEMBER      ,Mechanical                                                  ,           2,          10,               20
      2021,OCTOBER        ,Mechanical                                                  ,           3,           6,               50
      2019,OCTOBER        ,AMTRAK                                                      ,           2,          12,             16.7
      2020,OCTOBER        ,Infrastructure Engineering                                  ,           9,          13,             69.2
      2019,OCTOBER        ,Other Railroads                                             ,           7,          12,             58.3
      2019,OCTOBER        ,Mechanical                                                  ,           3,          12,               25
      2021,OCTOBER        ,Human Factor                                                ,           3,           6,               50
      2020,OCTOBER        ,Mechanical                                                  ,           4,          13,             30.8
      2017,NOVEMBER       ,Unpreventable                                               ,           5,          12,             41.7
      2017,NOVEMBER       ,Mechanical                                                  ,           3,          12,               25
      2017,NOVEMBER       ,Infrastructure Engineering                                  ,           4,          12,             33.3
      2019,NOVEMBER       ,Mechanical                                                  ,           2,           2,              100
      2020,NOVEMBER       ,Unpreventable                                               ,           7,          25,               28
      2020,NOVEMBER       ,Mechanical                                                  ,           5,          25,               20
      2020,NOVEMBER       ,Infrastructure Engineering                                  ,           7,          25,               28
      2020,NOVEMBER       ,Crew/Engineer Availability                                  ,           6,          25,               24
      2017,DECEMBER       ,Unpreventable                                               ,           3,          15,               20
      2017,DECEMBER       ,Other Railroads                                             ,           4,          15,             26.7
      2020,DECEMBER       ,Crew/Engineer Availability                                  ,           9,          25,               36
      2020,DECEMBER       ,Technologies                                                ,           1,          25,                4
      2020,DECEMBER       ,Unpreventable                                               ,          15,          25,               60
      2017,DECEMBER       ,Crew/Engineer Availability                                  ,           2,          15,             13.3
      2019,DECEMBER       ,Infrastructure Engineering                                  ,           2,          20,               10
      2017,DECEMBER       ,Human Factor                                                ,           5,          15,             33.3
      2019,DECEMBER       ,Crew/Engineer Availability                                  ,           8,          20,               40
      2019,DECEMBER       ,Equipment Availability                                      ,           2,          20,               10
      2019,DECEMBER       ,Unpreventable                                               ,           4,          20,               20
      2019,DECEMBER       ,Other Railroads                                             ,           4,          20,               20
      2017,DECEMBER       ,Mechanical                                                  ,           1,          15,              6.7
