      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
----------,---------------,------------------------------------------------------------,------------,------------,-----------------
      2017,JANUARY        ,AMTRAK                                                      ,           5,          23,             21.7
      2021,JANUARY        ,Unpreventable                                               ,           5,          51,              9.8
      2017,JANUARY        ,Mechanical                                                  ,          12,          23,             52.2
      2017,JANUARY        ,Unpreventable                                               ,           5,          23,             21.7
      2018,JANUARY        ,AMTRAK                                                      ,          13,          73,             17.8
      2018,JANUARY        ,Carryover/Other                                             ,           1,          73,              1.4
      2018,JANUARY        ,Crew/Engineer Availability                                  ,           5,          73,              6.8
      2018,JANUARY        ,Equipment Availability                                      ,          24,          73,             32.9
      2018,JANUARY        ,Human Factor                                                ,           2,          73,              2.7
      2018,JANUARY        ,Infrastructure Engineering                                  ,           3,          73,              4.1
      2018,JANUARY        ,Mechanical                                                  ,          18,          73,             24.7
      2018,JANUARY        ,Unpreventable                                               ,           7,          73,              9.6
      2019,JANUARY        ,AMTRAK                                                      ,           3,          44,              6.8
      2019,JANUARY        ,Carryover/Other                                             ,           1,          44,              2.3
      2019,JANUARY        ,Crew/Engineer Availability                                  ,           1,          44,              2.3
      2019,JANUARY        ,Equipment Availability                                      ,          22,          44,               50
      2019,JANUARY        ,Mechanical                                                  ,          13,          44,             29.5
      2019,JANUARY        ,Technologies                                                ,           4,          44,              9.1
      2020,JANUARY        ,AMTRAK                                                      ,           3,          63,              4.8
      2020,JANUARY        ,Crew/Engineer Availability                                  ,           6,          63,              9.5
      2020,JANUARY        ,Equipment Availability                                      ,           4,          63,              6.3
      2020,JANUARY        ,Human Factor                                                ,           1,          63,              1.6
      2020,JANUARY        ,Infrastructure Engineering                                  ,           8,          63,             12.7
      2020,JANUARY        ,Mechanical                                                  ,          11,          63,             17.5
      2020,JANUARY        ,Other                                                       ,          22,          63,             34.9
      2020,JANUARY        ,Technologies                                                ,           4,          63,              6.3
      2020,JANUARY        ,Unpreventable                                               ,           4,          63,              6.3
      2021,JANUARY        ,Equipment Availability                                      ,           3,          51,              5.9
      2021,JANUARY        ,Human Factor                                                ,          18,          51,             35.3
      2021,JANUARY        ,Infrastructure Engineering                                  ,           4,          51,              7.8
      2021,JANUARY        ,Mechanical                                                  ,          21,          51,             41.2
      2017,JANUARY        ,Human Factor                                                ,           1,          23,              4.3
      2017,FEBRUARY       ,AMTRAK                                                      ,           3,          65,              4.6
      2021,FEBRUARY       ,Unpreventable                                               ,           8,          54,             14.8
      2017,FEBRUARY       ,Equipment Availability                                      ,           2,          65,              3.1
      2017,FEBRUARY       ,Human Factor                                                ,           1,          65,              1.5
      2017,FEBRUARY       ,Mechanical                                                  ,          10,          65,             15.4
      2017,FEBRUARY       ,Unpreventable                                               ,          41,          65,             63.1
      2018,FEBRUARY       ,AMTRAK                                                      ,           8,          55,             14.5
      2018,FEBRUARY       ,Crew/Engineer Availability                                  ,          11,          55,               20
      2018,FEBRUARY       ,Equipment Availability                                      ,           1,          55,              1.8
      2018,FEBRUARY       ,Human Factor                                                ,           4,          55,              7.3
      2018,FEBRUARY       ,Mechanical                                                  ,          17,          55,             30.9
      2018,FEBRUARY       ,Other                                                       ,           1,          55,              1.8
      2018,FEBRUARY       ,Unpreventable                                               ,          13,          55,             23.6
      2019,FEBRUARY       ,AMTRAK                                                      ,           4,         211,              1.9
      2019,FEBRUARY       ,Carryover/Other                                             ,          90,         211,             42.7
      2019,FEBRUARY       ,Crew/Engineer Availability                                  ,          29,         211,             13.7
      2019,FEBRUARY       ,Equipment Availability                                      ,           5,         211,              2.4
      2019,FEBRUARY       ,Human Factor                                                ,           1,         211,               .5
      2019,FEBRUARY       ,Infrastructure Engineering                                  ,          22,         211,             10.4
      2019,FEBRUARY       ,Mechanical                                                  ,           7,         211,              3.3
      2019,FEBRUARY       ,Technologies                                                ,           3,         211,              1.4
      2019,FEBRUARY       ,Unpreventable                                               ,          50,         211,             23.7
      2020,FEBRUARY       ,AMTRAK                                                      ,          20,          53,             37.7
      2020,FEBRUARY       ,Equipment Availability                                      ,           2,          53,              3.8
      2020,FEBRUARY       ,Human Factor                                                ,           2,          53,              3.8
      2020,FEBRUARY       ,Mechanical                                                  ,          19,          53,             35.8
      2020,FEBRUARY       ,Technologies                                                ,           2,          53,              3.8
      2020,FEBRUARY       ,Unpreventable                                               ,           8,          53,             15.1
      2021,FEBRUARY       ,Carryover/Other                                             ,           1,          54,              1.9
      2021,FEBRUARY       ,Crew/Engineer Availability                                  ,           2,          54,              3.7
      2021,FEBRUARY       ,Equipment Availability                                      ,          20,          54,               37
      2021,FEBRUARY       ,Human Factor                                                ,           1,          54,              1.9
      2021,FEBRUARY       ,Infrastructure Engineering                                  ,           1,          54,              1.9
      2021,FEBRUARY       ,Mechanical                                                  ,          21,          54,             38.9
      2017,FEBRUARY       ,Crew/Engineer Availability                                  ,           8,          65,             12.3
      2017,MARCH          ,AMTRAK                                                      ,          55,          78,             70.5
      2021,MARCH          ,Unpreventable                                               ,          10,          40,               25
      2017,MARCH          ,Infrastructure Engineering                                  ,           1,          78,              1.3
      2017,MARCH          ,Mechanical                                                  ,           7,          78,                9
      2017,MARCH          ,Other                                                       ,           3,          78,              3.8
      2017,MARCH          ,Unpreventable                                               ,           9,          78,             11.5
      2018,MARCH          ,AMTRAK                                                      ,          56,         329,               17
      2018,MARCH          ,Carryover/Other                                             ,           3,         329,               .9
      2018,MARCH          ,Crew/Engineer Availability                                  ,          33,         329,               10
      2018,MARCH          ,Human Factor                                                ,           3,         329,               .9
      2018,MARCH          ,Mechanical                                                  ,           9,         329,              2.7
      2018,MARCH          ,Other Railroads                                             ,          56,         329,               17
      2018,MARCH          ,Unpreventable                                               ,         169,         329,             51.4
      2019,MARCH          ,AMTRAK                                                      ,          38,          80,             47.5
      2019,MARCH          ,Carryover/Other                                             ,           2,          80,              2.5
      2019,MARCH          ,Crew/Engineer Availability                                  ,          25,          80,             31.3
      2019,MARCH          ,Equipment Availability                                      ,           4,          80,                5
      2019,MARCH          ,Mechanical                                                  ,           6,          80,              7.5
      2019,MARCH          ,Technologies                                                ,           4,          80,                5
      2019,MARCH          ,Unpreventable                                               ,           1,          80,              1.3
      2020,MARCH          ,AMTRAK                                                      ,          18,          72,               25
      2020,MARCH          ,Crew/Engineer Availability                                  ,          16,          72,             22.2
      2020,MARCH          ,Human Factor                                                ,           4,          72,              5.6
      2020,MARCH          ,Mechanical                                                  ,          17,          72,             23.6
      2020,MARCH          ,Other                                                       ,          11,          72,             15.3
      2020,MARCH          ,Technologies                                                ,           6,          72,              8.3
      2021,MARCH          ,Crew/Engineer Availability                                  ,           4,          40,               10
      2021,MARCH          ,Equipment Availability                                      ,           5,          40,             12.5
      2021,MARCH          ,Human Factor                                                ,           1,          40,              2.5
      2021,MARCH          ,Mechanical                                                  ,          20,          40,               50
      2017,MARCH          ,Crew/Engineer Availability                                  ,           3,          78,              3.8
      2017,APRIL          ,AMTRAK                                                      ,         134,         163,             82.2
      2021,APRIL          ,Unpreventable                                               ,           4,          33,             12.1
      2017,APRIL          ,Crew/Engineer Availability                                  ,           2,         163,              1.2
      2017,APRIL          ,Equipment Availability                                      ,           1,         163,               .6
      2017,APRIL          ,Human Factor                                                ,           2,         163,              1.2
      2017,APRIL          ,Mechanical                                                  ,          12,         163,              7.4
      2017,APRIL          ,Unpreventable                                               ,           2,         163,              1.2
      2018,APRIL          ,AMTRAK                                                      ,           7,         121,              5.8
      2018,APRIL          ,Carryover/Other                                             ,           6,         121,                5
      2018,APRIL          ,Crew/Engineer Availability                                  ,          55,         121,             45.5
      2018,APRIL          ,Equipment Availability                                      ,           3,         121,              2.5
      2018,APRIL          ,Human Factor                                                ,           2,         121,              1.7
      2018,APRIL          ,Infrastructure Engineering                                  ,           4,         121,              3.3
      2018,APRIL          ,Mechanical                                                  ,          11,         121,              9.1
      2018,APRIL          ,Unpreventable                                               ,          33,         121,             27.3
      2019,APRIL          ,Carryover/Other                                             ,           1,          43,              2.3
      2019,APRIL          ,Crew/Engineer Availability                                  ,          29,          43,             67.4
      2019,APRIL          ,Human Factor                                                ,           1,          43,              2.3
      2019,APRIL          ,Mechanical                                                  ,           8,          43,             18.6
