      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
----------,---------------,------------------------------------------------------------,------------,------------,-----------------
      2017,JANUARY        ,AMTRAK                                                      ,          57,          82,             69.5
      2021,JANUARY        ,Unpreventable                                               ,           7,          76,              9.2
      2017,JANUARY        ,Human Factor                                                ,           2,          82,              2.4
      2017,JANUARY        ,Mechanical                                                  ,          16,          82,             19.5
      2017,JANUARY        ,Other                                                       ,           1,          82,              1.2
      2017,JANUARY        ,Unpreventable                                               ,           5,          82,              6.1
      2018,JANUARY        ,AMTRAK                                                      ,          28,         119,             23.5
      2018,JANUARY        ,Carryover/Other                                             ,           1,         119,               .8
      2018,JANUARY        ,Crew/Engineer Availability                                  ,           4,         119,              3.4
      2018,JANUARY        ,Equipment Availability                                      ,          55,         119,             46.2
      2018,JANUARY        ,Human Factor                                                ,           5,         119,              4.2
      2018,JANUARY        ,Mechanical                                                  ,          16,         119,             13.4
      2018,JANUARY        ,Unpreventable                                               ,          10,         119,              8.4
      2019,JANUARY        ,AMTRAK                                                      ,           4,          74,              5.4
      2019,JANUARY        ,Crew/Engineer Availability                                  ,           1,          74,              1.4
      2019,JANUARY        ,Equipment Availability                                      ,          46,          74,             62.2
      2019,JANUARY        ,Mechanical                                                  ,          15,          74,             20.3
      2019,JANUARY        ,Technologies                                                ,           6,          74,              8.1
      2019,JANUARY        ,Unpreventable                                               ,           2,          74,              2.7
      2020,JANUARY        ,AMTRAK                                                      ,           1,          51,                2
      2020,JANUARY        ,Crew/Engineer Availability                                  ,           5,          51,              9.8
      2020,JANUARY        ,Equipment Availability                                      ,          12,          51,             23.5
      2020,JANUARY        ,Human Factor                                                ,           2,          51,              3.9
      2020,JANUARY        ,Mechanical                                                  ,          24,          51,             47.1
      2020,JANUARY        ,Technologies                                                ,           5,          51,              9.8
      2020,JANUARY        ,Unpreventable                                               ,           2,          51,              3.9
      2021,JANUARY        ,AMTRAK                                                      ,           2,          76,              2.6
      2021,JANUARY        ,Equipment Availability                                      ,          16,          76,             21.1
      2021,JANUARY        ,Human Factor                                                ,           6,          76,              7.9
      2021,JANUARY        ,Mechanical                                                  ,          45,          76,             59.2
      2017,JANUARY        ,Crew/Engineer Availability                                  ,           1,          82,              1.2
      2017,FEBRUARY       ,AMTRAK                                                      ,           6,          25,               24
      2021,FEBRUARY       ,Unpreventable                                               ,          23,          81,             28.4
      2017,FEBRUARY       ,Human Factor                                                ,           8,          25,               32
      2017,FEBRUARY       ,Mechanical                                                  ,           7,          25,               28
      2017,FEBRUARY       ,Unpreventable                                               ,           2,          25,                8
      2018,FEBRUARY       ,AMTRAK                                                      ,          14,          46,             30.4
      2018,FEBRUARY       ,Carryover/Other                                             ,           2,          46,              4.3
      2018,FEBRUARY       ,Crew/Engineer Availability                                  ,           1,          46,              2.2
      2018,FEBRUARY       ,Equipment Availability                                      ,           6,          46,               13
      2018,FEBRUARY       ,Human Factor                                                ,           7,          46,             15.2
      2018,FEBRUARY       ,Mechanical                                                  ,          15,          46,             32.6
      2018,FEBRUARY       ,Unpreventable                                               ,           1,          46,              2.2
      2019,FEBRUARY       ,AMTRAK                                                      ,           5,          44,             11.4
      2019,FEBRUARY       ,Crew/Engineer Availability                                  ,           2,          44,              4.5
      2019,FEBRUARY       ,Equipment Availability                                      ,           5,          44,             11.4
      2019,FEBRUARY       ,Human Factor                                                ,           3,          44,              6.8
      2019,FEBRUARY       ,Mechanical                                                  ,          24,          44,             54.5
      2019,FEBRUARY       ,Technologies                                                ,           3,          44,              6.8
      2019,FEBRUARY       ,Unpreventable                                               ,           2,          44,              4.5
      2020,FEBRUARY       ,AMTRAK                                                      ,          33,          48,             68.8
      2020,FEBRUARY       ,Human Factor                                                ,           5,          48,             10.4
      2020,FEBRUARY       ,Mechanical                                                  ,           6,          48,             12.5
      2020,FEBRUARY       ,Technologies                                                ,           3,          48,              6.3
      2020,FEBRUARY       ,Unpreventable                                               ,           1,          48,              2.1
      2021,FEBRUARY       ,AMTRAK                                                      ,           1,          81,              1.2
      2021,FEBRUARY       ,Carryover/Other                                             ,           1,          81,              1.2
      2021,FEBRUARY       ,Crew/Engineer Availability                                  ,           3,          81,              3.7
      2021,FEBRUARY       ,Equipment Availability                                      ,          11,          81,             13.6
      2021,FEBRUARY       ,Human Factor                                                ,          10,          81,             12.3
      2021,FEBRUARY       ,Mechanical                                                  ,          32,          81,             39.5
      2017,FEBRUARY       ,Equipment Availability                                      ,           2,          25,                8
      2017,MARCH          ,AMTRAK                                                      ,          59,          76,             77.6
      2021,MARCH          ,Unpreventable                                               ,           1,          39,              2.6
      2017,MARCH          ,Equipment Availability                                      ,           1,          76,              1.3
