      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
----------,---------------,------------------------------------------------------------,------------,------------,-----------------
      2017,JANUARY        ,AMTRAK                                                      ,          29,          51,             56.9
      2021,JANUARY        ,Unpreventable                                               ,           3,          36,              8.3
      2017,JANUARY        ,Human Factor                                                ,           2,          51,              3.9
      2017,JANUARY        ,Mechanical                                                  ,          15,          51,             29.4
      2017,JANUARY        ,Unpreventable                                               ,           4,          51,              7.8
      2018,JANUARY        ,AMTRAK                                                      ,          16,          78,             20.5
      2018,JANUARY        ,Carryover/Other                                             ,           1,          78,              1.3
      2018,JANUARY        ,Crew/Engineer Availability                                  ,           7,          78,                9
      2018,JANUARY        ,Equipment Availability                                      ,          34,          78,             43.6
      2018,JANUARY        ,Human Factor                                                ,           1,          78,              1.3
      2018,JANUARY        ,Infrastructure Engineering                                  ,           6,          78,              7.7
      2018,JANUARY        ,Mechanical                                                  ,           5,          78,              6.4
      2018,JANUARY        ,Unpreventable                                               ,           8,          78,             10.3
      2019,JANUARY        ,AMTRAK                                                      ,           2,          59,              3.4
      2019,JANUARY        ,Crew/Engineer Availability                                  ,           5,          59,              8.5
      2019,JANUARY        ,Equipment Availability                                      ,          32,          59,             54.2
      2019,JANUARY        ,Mechanical                                                  ,          12,          59,             20.3
      2019,JANUARY        ,Unpreventable                                               ,           8,          59,             13.6
      2020,JANUARY        ,Crew/Engineer Availability                                  ,          21,          45,             46.7
      2020,JANUARY        ,Equipment Availability                                      ,           5,          45,             11.1
      2020,JANUARY        ,Human Factor                                                ,           1,          45,              2.2
      2020,JANUARY        ,Mechanical                                                  ,          14,          45,             31.1
      2020,JANUARY        ,Technologies                                                ,           2,          45,              4.4
      2020,JANUARY        ,Unpreventable                                               ,           2,          45,              4.4
      2021,JANUARY        ,AMTRAK                                                      ,           2,          36,              5.6
      2021,JANUARY        ,Crew/Engineer Availability                                  ,           1,          36,              2.8
      2021,JANUARY        ,Equipment Availability                                      ,           8,          36,             22.2
      2021,JANUARY        ,Human Factor                                                ,           4,          36,             11.1
      2021,JANUARY        ,Infrastructure Engineering                                  ,           1,          36,              2.8
      2021,JANUARY        ,Mechanical                                                  ,          17,          36,             47.2
      2017,JANUARY        ,Crew/Engineer Availability                                  ,           1,          51,                2
      2017,FEBRUARY       ,AMTRAK                                                      ,           6,          39,             15.4
      2021,FEBRUARY       ,Unpreventable                                               ,          15,          40,             37.5
      2017,FEBRUARY       ,Crew/Engineer Availability                                  ,           2,          39,              5.1
      2017,FEBRUARY       ,Human Factor                                                ,          11,          39,             28.2
      2017,FEBRUARY       ,Mechanical                                                  ,           7,          39,             17.9
      2017,FEBRUARY       ,Unpreventable                                               ,          11,          39,             28.2
      2018,FEBRUARY       ,AMTRAK                                                      ,          10,          28,             35.7
      2018,FEBRUARY       ,Crew/Engineer Availability                                  ,           6,          28,             21.4
      2018,FEBRUARY       ,Equipment Availability                                      ,           1,          28,              3.6
      2018,FEBRUARY       ,Mechanical                                                  ,           8,          28,             28.6
      2018,FEBRUARY       ,Unpreventable                                               ,           3,          28,             10.7
      2019,FEBRUARY       ,AMTRAK                                                      ,           4,          35,             11.4
      2019,FEBRUARY       ,Crew/Engineer Availability                                  ,           6,          35,             17.1
      2019,FEBRUARY       ,Equipment Availability                                      ,           6,          35,             17.1
      2019,FEBRUARY       ,Human Factor                                                ,           2,          35,              5.7
      2019,FEBRUARY       ,Mechanical                                                  ,          11,          35,             31.4
      2019,FEBRUARY       ,Technologies                                                ,           4,          35,             11.4
      2019,FEBRUARY       ,Unpreventable                                               ,           2,          35,              5.7
      2020,FEBRUARY       ,AMTRAK                                                      ,          12,          28,             42.9
      2020,FEBRUARY       ,Crew/Engineer Availability                                  ,           2,          28,              7.1
      2020,FEBRUARY       ,Equipment Availability                                      ,           2,          28,              7.1
      2020,FEBRUARY       ,Mechanical                                                  ,           5,          28,             17.9
      2020,FEBRUARY       ,Technologies                                                ,           4,          28,             14.3
      2020,FEBRUARY       ,Unpreventable                                               ,           3,          28,             10.7
      2021,FEBRUARY       ,Crew/Engineer Availability                                  ,           3,          40,              7.5
      2021,FEBRUARY       ,Mechanical                                                  ,          22,          40,               55
      2017,FEBRUARY       ,Carryover/Other                                             ,           2,          39,              5.1
      2017,MARCH          ,AMTRAK                                                      ,          39,          56,             69.6
      2021,MARCH          ,Unpreventable                                               ,           3,          23,               13
      2017,MARCH          ,Human Factor                                                ,           1,          56,              1.8
      2017,MARCH          ,Mechanical                                                  ,           4,          56,              7.1
      2017,MARCH          ,Unpreventable                                               ,           9,          56,             16.1
      2018,MARCH          ,AMTRAK                                                      ,          39,          69,             56.5
      2018,MARCH          ,Crew/Engineer Availability                                  ,           1,          69,              1.4
      2018,MARCH          ,Mechanical                                                  ,          13,          69,             18.8
      2018,MARCH          ,Other Railroads                                             ,           4,          69,              5.8
      2018,MARCH          ,Unpreventable                                               ,          12,          69,             17.4
      2019,MARCH          ,Crew/Engineer Availability                                  ,           3,          24,             12.5
      2019,MARCH          ,Equipment Availability                                      ,           3,          24,             12.5
      2019,MARCH          ,Human Factor                                                ,           1,          24,              4.2
      2019,MARCH          ,Infrastructure Engineering                                  ,           1,          24,              4.2
      2019,MARCH          ,Mechanical                                                  ,           9,          24,             37.5
      2019,MARCH          ,Other                                                       ,           1,          24,              4.2
      2019,MARCH          ,Technologies                                                ,           6,          24,               25
      2020,MARCH          ,AMTRAK                                                      ,          12,          47,             25.5
      2020,MARCH          ,Crew/Engineer Availability                                  ,          20,          47,             42.6
      2020,MARCH          ,Equipment Availability                                      ,           3,          47,              6.4
      2020,MARCH          ,Mechanical                                                  ,           6,          47,             12.8
      2020,MARCH          ,Technologies                                                ,           2,          47,              4.3
      2020,MARCH          ,Unpreventable                                               ,           4,          47,              8.5
      2021,MARCH          ,AMTRAK                                                      ,           2,          23,              8.7
      2021,MARCH          ,Human Factor                                                ,           3,          23,               13
      2021,MARCH          ,Mechanical                                                  ,          15,          23,             65.2
      2017,MARCH          ,Crew/Engineer Availability                                  ,           3,          56,              5.4
      2017,APRIL          ,AMTRAK                                                      ,          37,          58,             63.8
      2021,APRIL          ,Mechanical                                                  ,          13,          24,             54.2
      2017,APRIL          ,Crew/Engineer Availability                                  ,           1,          58,              1.7
      2017,APRIL          ,Equipment Availability                                      ,           1,          58,              1.7
      2017,APRIL          ,Human Factor                                                ,           2,          58,              3.4
      2017,APRIL          ,Infrastructure Engineering                                  ,           1,          58,              1.7
      2017,APRIL          ,Mechanical                                                  ,           4,          58,              6.9
      2017,APRIL          ,Unpreventable                                               ,           1,          58,              1.7
      2018,APRIL          ,AMTRAK                                                      ,           6,          33,             18.2
      2018,APRIL          ,Crew/Engineer Availability                                  ,          11,          33,             33.3
      2018,APRIL          ,Human Factor                                                ,           2,          33,              6.1
      2018,APRIL          ,Mechanical                                                  ,           6,          33,             18.2
      2018,APRIL          ,Unpreventable                                               ,           8,          33,             24.2
      2019,APRIL          ,Crew/Engineer Availability                                  ,           2,          82,              2.4
      2019,APRIL          ,Equipment Availability                                      ,           3,          82,              3.7
      2019,APRIL          ,Human Factor                                                ,           3,          82,              3.7
      2019,APRIL          ,Mechanical                                                  ,          12,          82,             14.6
      2019,APRIL          ,Technologies                                                ,           2,          82,              2.4
      2019,APRIL          ,Unpreventable                                               ,          60,          82,             73.2
      2020,APRIL          ,Carryover/Other                                             ,           1,          92,              1.1
      2020,APRIL          ,Crew/Engineer Availability                                  ,          86,          92,             93.5
      2020,APRIL          ,Human Factor                                                ,           1,          92,              1.1
      2020,APRIL          ,Mechanical                                                  ,           3,          92,              3.3
      2020,APRIL          ,Technologies                                                ,           1,          92,              1.1
      2021,APRIL          ,AMTRAK                                                      ,           3,          24,             12.5
      2021,APRIL          ,Crew/Engineer Availability                                  ,           2,          24,              8.3
      2021,APRIL          ,Equipment Availability                                      ,           2,          24,              8.3
      2021,APRIL          ,Human Factor                                                ,           4,          24,             16.7
      2017,APRIL          ,Carryover/Other                                             ,          11,          58,               19
      2017,MAY            ,AMTRAK                                                      ,           2,          38,              5.3
      2021,MAY            ,Unpreventable                                               ,           4,          17,             23.5
      2017,MAY            ,Human Factor                                                ,           1,          38,              2.6
      2017,MAY            ,Infrastructure Engineering                                  ,           1,          38,              2.6
      2017,MAY            ,Mechanical                                                  ,          18,          38,             47.4
      2017,MAY            ,Unpreventable                                               ,           7,          38,             18.4
      2018,MAY            ,AMTRAK                                                      ,           2,          30,              6.7
      2018,MAY            ,Carryover/Other                                             ,           1,          30,              3.3
      2018,MAY            ,Crew/Engineer Availability                                  ,          10,          30,             33.3
      2018,MAY            ,Equipment Availability                                      ,           1,          30,              3.3
      2018,MAY            ,Human Factor                                                ,           1,          30,              3.3
      2018,MAY            ,Mechanical                                                  ,          14,          30,             46.7
      2018,MAY            ,Unpreventable                                               ,           1,          30,              3.3
      2019,MAY            ,AMTRAK                                                      ,           3,          32,              9.4
      2019,MAY            ,Crew/Engineer Availability                                  ,          17,          32,             53.1
      2019,MAY            ,Equipment Availability                                      ,           6,          32,             18.8
      2019,MAY            ,Human Factor                                                ,           1,          32,              3.1
      2019,MAY            ,Mechanical                                                  ,           3,          32,              9.4
      2019,MAY            ,Technologies                                                ,           2,          32,              6.3
      2020,MAY            ,Crew/Engineer Availability                                  ,         107,         110,             97.3
      2020,MAY            ,Human Factor                                                ,           1,         110,               .9
      2020,MAY            ,Technologies                                                ,           1,         110,               .9
      2020,MAY            ,Unpreventable                                               ,           1,         110,               .9
      2021,MAY            ,Carryover/Other                                             ,           3,          17,             17.6
      2021,MAY            ,Infrastructure Engineering                                  ,           1,          17,              5.9
      2021,MAY            ,Mechanical                                                  ,           9,          17,             52.9
      2017,MAY            ,Crew/Engineer Availability                                  ,           9,          38,             23.7
      2017,JUNE           ,AMTRAK                                                      ,           1,          16,              6.3
      2021,JUNE           ,Unpreventable                                               ,           7,          30,             23.3
      2017,JUNE           ,Human Factor                                                ,           4,          16,               25
      2017,JUNE           ,Mechanical                                                  ,           8,          16,               50
      2017,JUNE           ,Unpreventable                                               ,           1,          16,              6.3
      2018,JUNE           ,Crew/Engineer Availability                                  ,          13,          26,               50
      2018,JUNE           ,Human Factor                                                ,           1,          26,              3.8
      2018,JUNE           ,Infrastructure Engineering                                  ,           2,          26,              7.7
      2018,JUNE           ,Mechanical                                                  ,          10,          26,             38.5
      2019,JUNE           ,AMTRAK                                                      ,           5,         128,              3.9
      2019,JUNE           ,Crew/Engineer Availability                                  ,          95,         128,             74.2
      2019,JUNE           ,Equipment Availability                                      ,           4,         128,              3.1
      2019,JUNE           ,Human Factor                                                ,           1,         128,               .8
      2019,JUNE           ,Mechanical                                                  ,          13,         128,             10.2
      2019,JUNE           ,Technologies                                                ,           2,         128,              1.6
      2019,JUNE           ,Unpreventable                                               ,           8,         128,              6.3
      2020,JUNE           ,Crew/Engineer Availability                                  ,          17,          22,             77.3
      2020,JUNE           ,Mechanical                                                  ,           1,          22,              4.5
      2020,JUNE           ,Unpreventable                                               ,           4,          22,             18.2
      2021,JUNE           ,AMTRAK                                                      ,           1,          30,              3.3
      2021,JUNE           ,Human Factor                                                ,           1,          30,              3.3
      2021,JUNE           ,Mechanical                                                  ,          21,          30,               70
      2017,JUNE           ,Crew/Engineer Availability                                  ,           2,          16,             12.5
      2017,JULY           ,AMTRAK                                                      ,           8,          71,             11.3
      2021,JULY           ,Unpreventable                                               ,           5,          32,             15.6
      2017,JULY           ,Crew/Engineer Availability                                  ,          38,          71,             53.5
      2017,JULY           ,Human Factor                                                ,           3,          71,              4.2
      2017,JULY           ,Infrastructure Engineering                                  ,           2,          71,              2.8
      2017,JULY           ,Mechanical                                                  ,           9,          71,             12.7
      2017,JULY           ,Unpreventable                                               ,          10,          71,             14.1
      2018,JULY           ,AMTRAK                                                      ,           2,          38,              5.3
