      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
----------,---------------,------------------------------------------------------------,------------,------------,-----------------
      2018,JANUARY        ,Crew/Engineer Availability                                  ,           5,           8,             62.5
      2018,JANUARY        ,Equipment Availability                                      ,           3,           8,             37.5
      2019,JANUARY        ,Carryover/Other                                             ,           1,           6,             16.7
      2021,JANUARY        ,Mechanical                                                  ,           1,           1,              100
      2019,JANUARY        ,Mechanical                                                  ,           3,           6,               50
      2020,JANUARY        ,Mechanical                                                  ,           2,           2,              100
      2019,JANUARY        ,Crew/Engineer Availability                                  ,           2,           6,             33.3
      2017,FEBRUARY       ,Crew/Engineer Availability                                  ,           1,           5,               20
      2017,FEBRUARY       ,Mechanical                                                  ,           1,           5,               20
      2017,FEBRUARY       ,Unpreventable                                               ,           3,           5,               60
      2018,FEBRUARY       ,Crew/Engineer Availability                                  ,           1,           2,               50
      2018,FEBRUARY       ,Mechanical                                                  ,           1,           2,               50
      2019,FEBRUARY       ,Crew/Engineer Availability                                  ,           1,           4,               25
      2021,FEBRUARY       ,Unpreventable                                               ,           1,           5,               20
      2019,FEBRUARY       ,Mechanical                                                  ,           2,           4,               50
      2020,FEBRUARY       ,Mechanical                                                  ,           2,           4,               50
      2020,FEBRUARY       ,Unpreventable                                               ,           2,           4,               50
      2021,FEBRUARY       ,Equipment Availability                                      ,           2,           5,               40
      2021,FEBRUARY       ,Human Factor                                                ,           2,           5,               40
      2019,FEBRUARY       ,Equipment Availability                                      ,           1,           4,               25
      2017,MARCH          ,Crew/Engineer Availability                                  ,           8,          14,             57.1
      2021,MARCH          ,Mechanical                                                  ,           2,           5,               40
      2017,MARCH          ,Mechanical                                                  ,           1,          14,              7.1
      2017,MARCH          ,Unpreventable                                               ,           4,          14,             28.6
      2018,MARCH          ,Carryover/Other                                             ,           1,          30,              3.3
      2018,MARCH          ,Crew/Engineer Availability                                  ,           7,          30,             23.3
      2018,MARCH          ,Mechanical                                                  ,           4,          30,             13.3
      2018,MARCH          ,Unpreventable                                               ,          18,          30,               60
      2019,MARCH          ,Crew/Engineer Availability                                  ,           4,           8,               50
      2019,MARCH          ,Equipment Availability                                      ,           1,           8,             12.5
      2019,MARCH          ,Infrastructure Engineering                                  ,           1,           8,             12.5
      2019,MARCH          ,Mechanical                                                  ,           1,           8,             12.5
      2019,MARCH          ,Unpreventable                                               ,           1,           8,             12.5
      2020,MARCH          ,Human Factor                                                ,           1,           4,               25
      2020,MARCH          ,Mechanical                                                  ,           2,           4,               50
      2020,MARCH          ,Technologies                                                ,           1,           4,               25
      2021,MARCH          ,Equipment Availability                                      ,           1,           5,               20
      2021,MARCH          ,Human Factor                                                ,           2,           5,               40
      2017,MARCH          ,Equipment Availability                                      ,           1,          14,              7.1
      2017,APRIL          ,Human Factor                                                ,           2,           5,               40
      2021,APRIL          ,Unpreventable                                               ,           3,           7,             42.9
      2017,APRIL          ,Unpreventable                                               ,           1,           5,               20
      2018,APRIL          ,Crew/Engineer Availability                                  ,          15,          18,             83.3
      2018,APRIL          ,Equipment Availability                                      ,           1,          18,              5.6
      2018,APRIL          ,Mechanical                                                  ,           1,          18,              5.6
      2018,APRIL          ,Unpreventable                                               ,           1,          18,              5.6
      2019,APRIL          ,Mechanical                                                  ,           1,           3,             33.3
      2019,APRIL          ,Unpreventable                                               ,           2,           3,             66.7
      2020,APRIL          ,Crew/Engineer Availability                                  ,          16,          24,             66.7
      2020,APRIL          ,Mechanical                                                  ,           2,          24,              8.3
      2020,APRIL          ,Unpreventable                                               ,           6,          24,               25
      2021,APRIL          ,Human Factor                                                ,           1,           7,             14.3
      2021,APRIL          ,Mechanical                                                  ,           3,           7,             42.9
      2017,APRIL          ,Mechanical                                                  ,           2,           5,               40
      2017,MAY            ,Mechanical                                                  ,           3,           3,              100
      2018,MAY            ,Crew/Engineer Availability                                  ,           7,          16,             43.8
      2018,MAY            ,Mechanical                                                  ,           3,          16,             18.8
      2018,MAY            ,Unpreventable                                               ,           6,          16,             37.5
      2021,MAY            ,Unpreventable                                               ,           1,           2,               50
