      YEAR,MONTH          ,CATEGORY                                                    ,CANCEL_COUNT,CANCEL_TOTAL,CANCEL_PERCENTAGE
----------,---------------,------------------------------------------------------------,------------,------------,-----------------
      2017,JANUARY        ,Mechanical                                                  ,           1,           1,              100
      2021,JANUARY        ,Mechanical                                                  ,          14,          21,             66.7
      2018,JANUARY        ,Crew/Engineer Availability                                  ,           1,          20,                5
      2018,JANUARY        ,Equipment Availability                                      ,           4,          20,               20
      2018,JANUARY        ,Mechanical                                                  ,           1,          20,                5
      2018,JANUARY        ,Other Railroads                                             ,           3,          20,               15
      2018,JANUARY        ,Unpreventable                                               ,           1,          20,                5
      2019,JANUARY        ,Equipment Availability                                      ,           2,           7,             28.6
      2019,JANUARY        ,Mechanical                                                  ,           4,           7,             57.1
      2019,JANUARY        ,Unpreventable                                               ,           1,           7,             14.3
      2020,JANUARY        ,Crew/Engineer Availability                                  ,           2,          37,              5.4
      2020,JANUARY        ,Human Factor                                                ,           1,          37,              2.7
      2020,JANUARY        ,Infrastructure Engineering                                  ,           4,          37,             10.8
      2020,JANUARY        ,Mechanical                                                  ,           6,          37,             16.2
      2020,JANUARY        ,Other                                                       ,           1,          37,              2.7
      2020,JANUARY        ,Unpreventable                                               ,          23,          37,             62.2
      2021,JANUARY        ,Equipment Availability                                      ,           2,          21,              9.5
      2021,JANUARY        ,Human Factor                                                ,           5,          21,             23.8
      2018,JANUARY        ,AMTRAK                                                      ,          10,          20,               50
      2017,FEBRUARY       ,AMTRAK                                                      ,           1,           2,               50
      2017,FEBRUARY       ,Human Factor                                                ,           1,           2,               50
      2018,FEBRUARY       ,Mechanical                                                  ,           4,           4,              100
      2019,FEBRUARY       ,Mechanical                                                  ,          10,          10,              100
      2020,FEBRUARY       ,AMTRAK                                                      ,           5,          20,               25
      2021,FEBRUARY       ,Unpreventable                                               ,          11,          20,               55
      2020,FEBRUARY       ,Mechanical                                                  ,           5,          20,               25
      2020,FEBRUARY       ,Technologies                                                ,           3,          20,               15
      2020,FEBRUARY       ,Unpreventable                                               ,           5,          20,               25
      2021,FEBRUARY       ,Infrastructure Engineering                                  ,           3,          20,               15
      2021,FEBRUARY       ,Mechanical                                                  ,           6,          20,               30
      2020,FEBRUARY       ,Human Factor                                                ,           2,          20,               10
      2017,MARCH          ,AMTRAK                                                      ,          18,          30,               60
      2021,MARCH          ,Unpreventable                                               ,           4,          12,             33.3
      2017,MARCH          ,Infrastructure Engineering                                  ,           1,          30,              3.3
      2017,MARCH          ,Unpreventable                                               ,          10,          30,             33.3
      2018,MARCH          ,AMTRAK                                                      ,           4,          44,              9.1
      2018,MARCH          ,Human Factor                                                ,           6,          44,             13.6
      2018,MARCH          ,Mechanical                                                  ,           1,          44,              2.3
      2018,MARCH          ,Unpreventable                                               ,          33,          44,               75
      2019,MARCH          ,Human Factor                                                ,           2,          11,             18.2
      2019,MARCH          ,Mechanical                                                  ,           2,          11,             18.2
      2019,MARCH          ,Other Railroads                                             ,           7,          11,             63.6
      2020,MARCH          ,AMTRAK                                                      ,           3,          17,             17.6
      2020,MARCH          ,Crew/Engineer Availability                                  ,           3,          17,             17.6
