service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
1,,,,,,,,20181220,20190524
2,1,1,1,1,1,0,0,20181220,20190524
3,,,,,,,,20181220,20190524
4,0,0,0,0,0,1,1,20181220,20190524
5,0,0,0,0,0,1,1,20181220,20190524
6,1,1,1,1,1,0,0,20181220,20190524
7,,,,,,,,20181220,20190524
8,,,,,,,,20181220,20190524
9,,,,,,,,20181220,20190524
10,,,,,,,,20181220,20190524
11,1,1,1,1,1,0,0,20181220,20190524
12,,,,,,,,20181220,20190524
13,0,0,0,0,0,1,0,20181220,20190524
14,0,0,0,0,0,0,1,20181220,20190524
15,1,1,1,1,1,0,0,20181220,20190524
16,0,0,0,0,1,1,0,20181220,20190524
17,0,1,1,1,1,0,1,20181220,20190524
18,,,,,,,,20181220,20190524
19,,,,,,,,20181220,20190524
20,,,,,,,,20181220,20190524
21,0,0,0,0,1,1,0,20181220,20190524
22,1,1,1,1,1,0,0,20181220,20190524
23,0,0,0,0,0,1,1,20181220,20190524
24,0,0,0,0,1,0,0,20181220,20190524
25,0,0,0,0,0,1,0,20181220,20190524
26,0,0,0,0,0,0,1,20181220,20190524
27,0,0,0,0,0,0,1,20181220,20190524
28,1,1,1,1,1,0,0,20181220,20190524
29,1,1,1,1,1,0,0,20181220,20190524
30,0,1,1,1,1,0,0,20181220,20190524
31,1,0,0,0,0,0,0,20181220,20190524
32,0,0,0,0,0,1,0,20181220,20190524
33,0,0,0,0,0,0,1,20181220,20190524
34,0,0,0,0,1,1,1,20181220,20190524
35,1,1,1,1,1,0,0,20181220,20190524
36,,,,,,,,20181220,20190524
